"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"11",5,"BB","BB+",4.5621,8.3665,6.5515,44.542,3.7087,4748,23193,23864,-960,243,11955,4.9238,19.8961,1.1094,0.3998,0.2821,1308,0.0319,6.5515,0.971882333221589,-0.0402279584311096,0.0203262233375157,0.0548105933623869
"12",5,"BB","BB+",5.1113,9.9691,7.1548,39.4928,4.6424,3952,18762,21306,1567,909,12624,4.5961,18.5488,0.9639,0.4649,0.2749,-456,-0.0281,7.1548,0.880597014925373,0.0735473575518633,0.0720057034220532,-0.0214024218529992
"13",4,"BBB","BBB",32.7526,59.9303,51.9164,9.689,4.7024,703,3396.436,2022,793,163,285.146,3.3864,34.7676,0.9894,0.859,0.1017,-67,-0.1932,51.9164,1.67974085064293,0.392185954500495,0.571636985965084,-0.033135509396637
"14",4,"BBB","BBB",30.8531,53.924,45.0997,14.8453,5.3095,864.959,2385.993,2000.504,216.262,131.117,479,2.4431,43.2371,1.6059,1.2195,0.7728,253,-0.1897,45.0997,1.19269594062296,0.108103757853021,0.273730688935282,0.126468130031232
"15",3,"A","A-",0.4673,25.6009,9.8732,1.0959,0.1876,1348.322,1035,1806.973,235.478,121.297,132.068,1.069,75.1378,0.7804,0.2725,0.1385,-29.007,-0.0652,9.8732,0.572781109623663,0.130316280320735,0.918443529091074,-0.0160528131853658
"16",4,"BBB","BBB+",18.8896,33.4036,21.8845,9.3737,6.0788,926.127,2693.214,7616.35,2874.973,744.862,712.338,7.0833,13.6392,3.6272,2.5466,1.6877,1871.435,0.8055,21.8845,0.353609537376827,0.377473855586994,1.04565810050847,0.245712841452927
"17",4,"BBB","BBB+",47.4915,45.1154,34.7204,26.31,15.265,952.853,2385.993,7393.861,3158.506,690.113,763.057,19.7278,14.0825,3.3127,2.2944,1.709,1764.684,0.5513,34.7204,0.322699195995164,0.427179520956642,0.904405568653456,0.238668809164792
"18",3,"A","A-",25.1663,43.3827,32.6592,17.0154,7.1451,6391,13943,25176,7915,2279,1237,5.8398,25.6633,1.2045,0.9289,0.2846,253,0.0079,32.6592,0.553821099459803,0.314386717508738,1.84236054971706,0.0100492532570702
"19",4,"BBB","BBB",13.7332,58.0096,33.5072,8.3598,3.7766,9658,21598,41024,16696,5812,2405,9.4024,23.5423,0.7863,0.4827,0.0054,-514,-0.0236,33.5072,0.526472308892356,0.40698127925117,2.41663201663202,-0.0125292511700468
"20",4,"BBB","BBB",20.4514,45.1418,35.4803,18.2825,10.7658,1218,2740.406,7271,1643,1377,305,14.1648,16.7515,2.4754,2.1213,0.8787,450,0.1133,35.4803,0.37689533764269,0.225966166964654,4.51475409836066,0.0618896988034658
"21",4,"BBB","BBB",36.4521,47.9991,35.4714,21.5292,10.9182,1699.8,2271,5067.7,722.7,593.7,326.5,5.0101,33.5418,0.6845,0.5008,0.0545,-103,-0.071,35.4714,0.448132288809519,0.142609073149555,1.81837672281776,-0.0203248021785031
"22",4,"BBB","BBB+",4.8464,11.044,8.0567,12.0525,4.2862,2131.6,8922.4,14553.2,4075.1,574.5,4578.8,7.2237,24.3081,1.8586,1.44,0.2077,3931.4,0.3044,8.0567,0.613088530357584,0.280014017535662,0.125469555342011,0.270139900502982
"23",3,"A","A",17.1724,42.881,30.5435,16.5086,4.9001,4551,7510,11696,2508,1352,802,4,40.4412,1.4738,1.2893,0.7643,380,0.1419,30.5435,0.642099863201094,0.214432284541724,1.6857855361596,0.0324897400820793
"24",5,"BB","BB-",2.731,5.1862,0.2207,9.5284,2.7634,1358,2563,3728,615,104,705,0.0825,40.1556,1.5674,0.7759,0.017,400,0.0666,0.2207,0.6875,0.164967811158798,0.147517730496454,0.107296137339056
"25",5,"BB","BB-",1.5476,11.1426,5.5197,4.6875,1.5339,1459,2467,3792,700,354,598,2.1188,40.9283,1.8094,0.908,0.0318,484,0.1297,5.5197,0.650580168776371,0.184599156118143,0.591973244147157,0.127637130801688
"26",5,"BB","BB-",2.7048,3.9013,2.831,14.2061,6.5213,0,1505.8,2969.6,-2203.5,196.3,1346.6,37.8148,0,1.8288,1.0914,0.4893,1116,0.1473,2.831,0.507071659482759,-0.742019127155172,0.145774543294223,0.375808189655172
"27",5,"BB","BB-",0.9028,3.2139,1.5659,3.8715,1.596,0,1630.3,3106.1,-2381.8,293.5,1519.8,2.7025,7.173,1.6731,1.1619,0.617,1023,0.2156,1.5659,0.524870416277647,-0.766813689192235,0.193117515462561,0.329351920414668
"28",4,"BBB","BBB+",9.4164,22.9804,14.7299,16.6058,7.0324,3527,12788,22194,1400,3273,3388,5.1723,17.5678,1.1544,0.5608,0.1461,523,0.0273,14.7299,0.576191763539695,0.0630801117419122,0.966056670602125,0.0235649274578715
"29",5,"BB","BB",12.2761,39.8085,19.6059,14.6759,5.8984,952.687,1566.518,2702.819,123.025,417.284,362.999,4.0004,35.3329,0.4615,0.2835,0.0987,-195.491,-0.1703,19.6059,0.579586720383422,0.0455172913909515,1.14954586651754,-0.0723285577021621
"30",5,"BB","BB",12.6143,46.1975,23.3564,15.7779,4.6077,2982.395,4255.066,6014.038,660.999,688.924,724.925,3.6226,54.5395,0.5022,0.3525,0.2251,-360.882,-0.1538,23.3564,0.707522300324674,0.10990934876035,0.950338310859744,-0.0600066045475602
"31",4,"BBB","BBB",4.0092,10.3078,7.6569,8.4119,3.7305,1699,5182,9785,2662,1399,2581,6.3545,18.4466,1.9837,0.9186,0.4057,2539,0.2666,7.6569,0.529586101175268,0.272049054675524,0.542037969779155,0.25947879407256
"32",3,"A","A",20.6304,47.3746,29.4647,13.6267,4.7027,2827.4,4148.4,6592.2,1625.9,508,330.6,2.0277,42.972,1.4238,0.9994,0.2102,140.1,0.0568,29.4647,0.629289159916265,0.246639968447559,1.53660012099214,0.0212523891872213
"33",5,"BB","BB",-3.7352,10.3735,2.4773,-8.4124,-3.0406,2054,2740.406,5848,509,348,704,0.7574,35.5335,1.4574,0.348,0.0682,322,0.0623,2.4773,0.468605677154583,0.0870383036935704,0.494318181818182,0.0550615595075239
"34",3,"A","A-",46.4637,54.4204,37.2299,12.345,4.1066,4096,7596,12285,1318,641,1829,1.6844,33.3496,0.7469,0.3155,0.0109,-463,-0.3978,37.2299,0.618315018315018,0.107285307285307,0.350464734827775,-0.0376882376882377
"35",3,"A","A-",1.7083,20.3849,11.805,6.9387,1.1242,2219.965,3396.436,3564.492,96.606,428.753,540.314,1.5258,69.8798,0.6641,0.2997,0.0939,-181.469,-0.0524,11.805,0.952852748722679,0.0271023192084594,0.793525616585911,-0.050910199826511
"36",4,"BBB","BBB+",8.8972,25.7022,19.86,12.3257,5.6989,1273.7,1630.3,3744.3,1487.4,281.7,547.9,8.5111,35.7343,1.3375,1.0367,0.1017,184.9,0.0538,19.86,0.43540848756777,0.3972438105921,0.514144916955649,0.0493817268915418
"37",4,"BBB","BBB+",5.3101,19.0739,11.4698,5.1031,2.1388,1692,2271,4741,2462,302,498,1.5976,40.4345,1.0562,0.512,0.0221,28,-0.0144,11.4698,0.479012866483864,0.519299725796246,0.606425702811245,0.00590592701961611
"38",5,"BB","BB+",-4.6658,-3.7732,-5.0766,-10.3761,-5.7745,340.8,642.5,1435.7,315.3,291.1,255,-4.9554,23.8281,4.5224,2.2643,1.4102,898.2,0.4553,-5.0766,0.44751689071533,0.219614125513687,1.14156862745098,0.625618165354879
"39",4,"BBB","BBB+",4.3998,9.3201,6.3286,20.3588,6.9025,762.571,2740.406,4085.36,780.883,-80.917,1742.485,7.3506,26.8668,1.594,0.5655,0.0704,1034.971,0.1737,6.3286,0.670786907396166,0.191141784322557,-0.0464377024766354,0.253336548064308
"40",4,"BBB","BBB+",2.9202,9.952,5.5112,8.4873,3.1179,991.732,2155.749,3671.435,1218.994,562.357,944.982,4.1255,32.0896,2.205,0.8683,0.2094,1138.679,0.272,5.5112,0.587167960211743,0.3320211307023,0.595098107688824,0.310145488072103
"41",3,"A","A-",7.686,29.1243,19.2424,8.3988,2.4029,5276,8156,12139,763,681,1592,1.9418,48.7272,0.706,0.4271,0.0534,-468,-0.1393,19.2424,0.671884010215009,0.0628552599060878,0.427763819095477,-0.0385534228519647
"42",3,"A","A-",18.2345,60.4253,31.7895,9.5711,3.1123,948.154,1378.06,2097.288,59.149,134.795,155.59,2.1231,45.9322,0.9997,0.5155,0,-0.053,-0.0849,31.7895,0.657067603495562,0.0282026121352909,0.866347451635709,-2.52707305815892e-05
"43",3,"A","A",-1.7263,54.0379,35.487,12.3257,-0.2571,6818.378,8085.832,7667.524,-827.644,219.147,1204.755,0.9404,102.7783,0.5014,0.4913,0.458,-600.692,-0.3759,35.487,1.05455581228047,-0.107941494542436,0.181901714456466,-0.0783423697141346
"44",4,"BBB","BBB+",10.1289,26.7477,15.2753,13.8133,7.355,3491,14653,32426,11097,5092,3390,14.2723,12.0212,1.6059,0.859,0.5431,2054,0.0737,15.2753,0.451890458274224,0.342225374699315,1.50206489675516,0.0633442299389379
"45",1,"AAA","AAA",11.5627,16.9205,14.2999,27.5206,14.6537,843,12108,25429,14031,4489,5949,1389.6667,4.7465,0.8544,0.587,0.2021,-866,-0.0327,14.2999,0.476149278382949,0.551771599355067,0.754580601781812,-0.0340556058043966
"46",1,"AAA","AAA",7.8855,14.3827,10.4824,17.0666,8.9237,31,8034,17473,9252,1591,3768,209.9,0.8012,0.9302,0.591,0.1361,-263,0.0058,10.4824,0.459795112459223,0.529502661248784,0.42223991507431,-0.0150517941967607
"47",4,"BBB","BBB",17.0548,37.4433,26.3861,12.8705,3.6677,2487.315,3152.613,4472.714,0,281.785,299.883,6.6056,58.3743,0.5402,0.4679,0.0607,-137.888,-0.0952,26.3861,0.704854591641674,0,0.939649796754068,-0.0308287093697473
"48",4,"BBB","BBB",21.53,45.3897,36.7306,18.0456,5.2286,1102.288,3348.281,4768.067,0,460.504,1821.053,5.273,55.7384,0.0962,0.0874,0.0275,-1645.803,-1.5823,36.7306,0.702230274868201,0,0.252877867914882,-0.345171953330354
"49",7,"CCC","CCC+",1.1381,7.5371,3.6118,6.367,1.9395,191.142,309.545,446.723,-228.774,48.752,79.071,1.8498,43.4921,2.5765,1.0999,0.055,124.652,0.1583,3.6118,0.692923802893516,-0.51211600924958,0.61655980068546,0.279036449880575
"50",7,"CCC","CCC+",-2.3379,6.9626,0.8719,-6.1084,-2.5902,215.281,298.05,535.853,-174.909,34.91,69.949,0.3377,40.4966,2.7481,1.1127,0.0525,122.279,0.2075,0.8719,0.556215977142985,-0.326412280980045,0.499077899612575,0.228195046029415
"51",4,"BBB","BBB",2.1344,5.837,3.9206,10.8645,4.5345,4162,8687,14991,4948,1945,3628,4.243,30.0647,1.2029,0.5965,0.3831,736,0.0238,3.9206,0.579481021946501,0.330064705489961,0.536108048511577,0.0490961243412714
"52",4,"BBB","BBB",-2.8387,1.3013,-2.9424,-6.697,-3.8679,115,4943,12303,2843,527,4299,-18.9259,1.4549,1.4662,1.0226,0.3103,2004,0.1227,-2.9424,0.401771925546615,0.231081849955295,0.122586648057688,0.162887100707145
"53",5,"BB","BB-",6.1582,32.2984,20.3048,1.6289,1.1355,1741.394,2216.945,6201.049,21.343,314.302,316.576,2.858,28.2459,5.66,5.6309,5.2028,1475.245,1.351,20.3048,0.357511285590551,0.00344183701822063,0.99281689073082,0.237902490368968
"54",4,"BBB","BBB-",7.7194,19.199,13.1919,15.149,6.1622,708.127,1791.612,3393.575,942.978,479.707,602.981,5.5674,28.464,1.7158,1.2092,0.5816,431.64,0.1671,13.1919,0.527942361668742,0.277871566121273,0.795559064050111,0.127193299101979
"55",4,"BBB","BBB-",0.0616,11.837,2.0228,0.0585,0.0258,884.914,1554.213,2923.417,806.158,110.257,271.604,0.8855,31.2731,2.2925,1.5729,0.6251,351.049,0.3458,2.0228,0.531642594949677,0.275758812376065,0.405947629637266,0.120081739963885
"56",4,"BBB","BBB",3.1654,6.6238,4.9348,16.3604,7.803,1004.3,2394,4658.1,1545.7,520.1,1153.9,11.5586,21.7149,1.1058,0.4829,0.2092,122.1,0.0072,4.9348,0.513943453339344,0.331830574697838,0.450732299159373,0.026212404199137
"57",2,"AA","AA",0,20.0161,9.3624,12.0525,-0.2571,2680,3377,3405,28,145,244,1.0087,80.3524,1.4344,1.2664,0.8607,106,0.0238,9.3624,0.991776798825257,0.00822320117474303,0.594262295081967,0.0311306901615272
"58",5,"BB","BB-",-1.1399,4.6632,-0.6218,-3.4865,-1.0055,265,770,1070,-82,-13,404,-0.1818,47.3832,0.6881,0.4579,0.2054,-126,5e-04,-0.6218,0.719626168224299,-0.0766355140186916,-0.0321782178217822,-0.117757009345794
"59",5,"BB","BB-",-8.078,-0.5571,-7.2423,-19.2691,-5.5582,471,709,1043,-32,-35,140,-1.4444,45.1582,1.2571,0.3429,0.15,36,0.0111,-7.2423,0.679769894534995,-0.0306807286673058,-0.25,0.0345158197507191
"60",6,"B","B+",-3.1551,5.2654,-2.0296,-15.388,-2.9536,300.066,362.42,749.993,-185.82,63.273,254.573,-0.6147,41.9295,1.2844,0.8466,0.0055,72.391,0.1177,-2.0296,0.483231176824317,-0.247762312448249,0.248545603815016,0.0965222342075193
"61",6,"B","B+",-13.9228,13.6084,9.7124,-62.3757,-19.0325,267.831,362.42,629.275,-158.105,151.185,127.957,1.6632,43.4214,2.0064,1.3849,0.7728,128.781,0.1216,9.7124,0.575932620873227,-0.251249453736443,1.18152973264456,0.204649795399468
"62",6,"B","B+",-1.7984,8.2087,3.0449,-7.4594,-1.968,1737,3348.281,5217,381,219,1276,1.3053,39.0838,1.105,0.5721,0.1301,134,0.0598,3.0449,0.641801993482845,0.0730304772857964,0.171630094043887,0.0256852597278129
"63",3,"A","A-",15.0215,61.5451,39.8283,10.222,3.4757,2716,5182,5360,1,402,479,2.5866,50.6716,0.3591,0.2651,0,-307,-0.1391,39.8283,0.966791044776119,0.000186567164179104,0.839248434237996,-0.0572761194029851
"64",4,"BBB","BBB+",11.8436,36.8857,23.3637,11.5134,3.3296,2318.4,3611.5,5284.5,592.3,310.2,804.9,2.5866,51.6,0.8882,0.5403,0.0271,-90,-0.0972,23.3637,0.683413757214495,0.112082505440439,0.385389489377562,-0.0170309395401646
"65",3,"A","A-",0.818,17.3512,4.2638,0.8661,0.2761,3352,7790,17361,257,369,2006,2.5683,20.3848,1.1261,0.7901,0.3111,253,0.0198,4.2638,0.448706871723979,0.0148032947410863,0.1839481555334,0.0145728932665169
"66",3,"A","A+",-4.3443,41.3293,19.3607,-5.5159,-0.8473,343.623,362.42,426.556,64.136,17.053,13.787,0.812,81.036,1.4225,1.2544,0.8517,5.825,0.0674,19.3607,0.849642250958842,0.150357749041158,1.23688982374701,0.0136558857453652
"67",4,"BBB","BBB+",19.9654,34.4843,25.8834,16.1063,6.8979,973.522,1451.753,2581.125,-527.082,224.615,272.676,4.049,45.2355,0.5727,0.5031,0.1978,-116.507,-0.1251,25.8834,0.562449707007603,-0.204206305390092,0.82374319705438,-0.0451380696401763
"68",3,"A","A-",27.1448,46.582,39.7156,27.048,12.4696,3707,8862,15547,2552,3131,3144,11.5422,35.8783,0.6663,0.4679,0.131,-1049,-0.0271,39.7156,0.570013507429086,0.16414742394031,0.995865139949109,-0.0674728243391008
"69",5,"BB","BB-",13.719,32.6161,23.6444,23.884,6.4123,3693.4,5862.2,8293,-2524.6,949.5,1109.6,3.3003,45.366,1.0011,0.7648,0.2974,1.2,-0.0298,23.6444,0.706885324972869,-0.304425419028096,0.85571377072819,0.000144700349692512
"70",2,"AA","AA+",-8.9648,-6.0681,-9.6072,-8.9354,-4.5416,115.499,1035,1348.709,2462,-65.022,585.801,-10.1388,8.5637,0.106,0.0875,0.0111,-523.707,-0.7809,-9.6072,0.767400528950278,1.82544937417931,-0.110996737800038,-0.388302443299481
"71",4,"BBB","BBB",27.5159,57.7728,28.946,27.2168,9.6874,4905.6604,10822,21612.3499,5701.7455,2817.8389,2383.2106,10.5604,22.7684,0.815,0.6939,0.2269,-440.9242,-0.0873,28.946,0.50073222255207,0.263818859419817,1.18237091594004,-0.0204014927594708
"72",4,"BBB","BBB",14.9985,61.6021,40.0487,6.3197,2.0335,2669.054,3611.5,5861.551,-928.394,272.968,244,1.5797,62.4958,1.143,1.2195,0.9106,322,-0.1538,40.0487,0.616133852627061,-0.158387089014495,1.11872131147541,0.0549342656917939
"73",4,"BBB","BBB",88.3509,63.2904,63.1892,18.8559,8.8873,4212,4255.066,10767,1548,356,1519.8,2.5996,46.754,1.3375,1.0539,0.6251,-2301,-0.3759,63.1892,0.395195133277607,0.143772638617999,0.23424134754573,-0.213708553914739
"74",4,"BBB","BBB",12.5991,38.1212,21.8907,32.8846,8.6686,8463,12745,17018,1398,3790,2748,3.9691,49.7356,0.8206,0.6161,0.1394,-493,-0.0389,21.8907,0.748912915736279,0.0821483135503584,1.37918486171761,-0.0289693265953696
"75",5,"BB","BB+",4.3924,8.2055,7.333,14.8599,8.0065,296.5,719,1538.4,306.7,56.2,381.5,7.1818,19.3578,3.4176,1.7119,0.7096,922.3,0.3357,7.333,0.46736869474779,0.199362974518981,0.147313237221494,0.59951898075923
"76",4,"BBB","BBB-",16.3518,42.1103,27.4566,20.3181,6.5969,4690,8313,13250,1589,1740,1396,5.31,35.3962,0.9549,0.8095,0.4563,-63,-0.1024,27.4566,0.627396226415094,0.119924528301887,1.24641833810888,-0.00475471698113208
"77",4,"BBB","BBB+",5.2539,10.2071,8.2865,20.4765,4.7723,1909.746,6467.285,8354.001,1543.199,919.669,3514.328,4.5087,26.7791,1.0091,0.6791,0.3503,31.954,0.0494,8.2865,0.774154204673904,0.184725738002665,0.261691282088638,0.00382499355697946
"78",4,"BBB","BBB+",5.89,12.0551,9.9233,28.4799,5.1423,2353.533,5691.558,7206.283,1026.79,398.49,2848.951,4.1381,36.0462,1.191,0.9473,0.4276,544.072,0.0672,9.9233,0.789804952150783,0.142485383935102,0.139872535540274,0.0754996716060138
"79",5,"BB","BB+",1.7241,4.8704,2.8262,11.9197,5.2765,812.5,4255.066,5110.5,1273,682.1,1658.2,7.8185,16.8027,0.9894,0.4778,0.236,-17.5,-0.0068,2.8262,0.832612464533803,0.249095000489189,0.411349656253769,-0.0034243224733392
"80",4,"BBB","BBB+",4.4846,10.9298,1.9058,4.7128,2.241,13855,35635,69746,13765,2575,7848,1.1144,19.9037,1.0615,0.5659,0.0643,483,0.0036,1.9058,0.510925357726608,0.19735898832908,0.328109072375127,0.0069251283227712
"81",4,"BBB","BBB",26.2675,65.2168,39.9843,30.761,10.0665,3913.1554,12108,18433.8797,3934.6091,5556.0161,2730.6273,18.3855,21.4096,0.7228,0.368,0.0324,-756.8866,-0.1161,39.9843,0.656834057564127,0.213444438394594,2.0347031980527,-0.0410595388663625
"82",5,"BB","BB+",23.8598,44.2924,32.1996,14.4247,5.9636,6883,15282,29873,7307,2983,2363,3.9536,26.7934,1.5556,0.9738,0.5624,1313,-0.2519,32.1996,0.511565627824457,0.244602149097848,1.26237833262802,0.0439527332373715
"83",5,"BB","BB+",23.1718,46.6128,38.7007,15.9312,8.4332,6676,16326,34219,10858,3957,2122,10.3628,20.5588,3.4821,2.6612,2.0759,5267,0.296,38.7007,0.477103363628394,0.317309097285134,1.86475023562677,0.153920336655075
"84",6,"B","B+",62.482,74.7994,46.8598,27.8738,7.2047,3021.82,4148.4,5860.061,-714.253,293.546,285.146,1.3033,51.9691,1.5909,0.6631,0.4826,168.488,0.1676,46.8598,0.707910719700699,-0.121884908706582,1.02945859314176,0.0287519191353128
"85",4,"BBB","BBB+",10.3893,36.3419,18.4156,13.6348,5.2197,6090,11644,19219,2159,2904,2964,3.3252,32.1141,0.3802,0.248,0.0138,-1837,-0.1759,18.4156,0.605858785576773,0.112336750091056,0.979757085020243,-0.0955824964878506
"86",4,"BBB","BBB+",10.7026,37.2753,19.4955,13.6877,5.3961,5209,11843,19624,2126,2670,4098,3.6571,32.8985,0.4385,0.3258,0.0041,-2301,-0.2113,19.4955,0.60349571952711,0.10833673053404,0.651537335285505,-0.117254382388912
"87",3,"A","A-",6.4938,24.0902,12.1182,4.4795,2.4406,6821,15238,34573,10561,2666,4712,3.6458,21.9911,0.7774,0.6055,0.2358,-1049,-0.0772,12.1182,0.440748561015822,0.305469586093194,0.565789473684211,-0.0303415960431551
"88",3,"A","A",1.7142,12.0196,5.3892,4.2568,1.4431,490.115,1798.521,3059.227,430.437,190.757,338.212,1.7959,16.0209,2.0203,1.0708,0.625,345.087,0.0663,5.3892,0.587900472897238,0.140701229428218,0.564016060932196,0.112802024825225
"89",4,"BBB","BBB",11.4532,44.1983,24.2208,10.4807,3.1502,3721,6102,9729,527,690,1191,3,41.4945,0.9437,0.4954,0.0411,-67,-0.0483,24.2208,0.627197039777983,0.0541679514852503,0.579345088161209,-0.00688662760818172
"90",3,"A","A-",16.8684,50.5684,33.7367,9.7731,3.3151,17975,26908,43841,4186,2990,4949,2.7112,46.4223,0.6415,0.3966,0.2015,-1774,-0.1897,33.7367,0.613763372185853,0.0954813986907233,0.604162457062033,-0.0404644054652038
"91",4,"BBB","BBB-",5.622,14.9166,8.4606,13.0795,5.7703,358.7,1234.6,2027.7,415.6,334.8,532.1,8.5051,23.5143,1.0795,0.7861,0.0662,42.3,0.0081,8.4606,0.608867189426444,0.204961286186319,0.629205036647247,0.020861074123391
"92",4,"BBB","BBB-",-3.7699,6.1895,-0.5438,-7.4084,-3.1758,818.8,1415.7,2531,645.9,78.8,447.5,-0.3189,32.6274,1.0784,0.7613,0.0775,35.1,-0.0609,-0.5438,0.559344132753852,0.255195574871592,0.17608938547486,0.0138680363492691
"93",2,"AA","AA+",6.7672,4.355,-0.3417,9.5284,3.2702,435.438,872.008,3898.358,888,130.985,202.55,4.243,11.3627,1.091,0.9223,0.4823,18.438,0.0799,-0.3417,0.223685972401714,0.227788212370439,0.646679832140212,0.0047296836257727
"94",3,"A","A+",-5.323,3.4689,0.7349,-18.6832,-3.0732,171.166,1035,1074.916,1318,34.343,99.509,0.417,16.3243,2.4817,2.4282,2.2158,147.439,0.2337,0.7349,0.962865935570779,1.22614232181864,0.345124561597443,0.137163276014126
"95",2,"AA","AA",2.1764,3.6913,-2.2579,-2.1739,1.1071,21.2,4255.066,4292.9,-38.634,221.3,592.3,-1.4537,0.4938,1.143,1.1241,0.9455,84.7,0.0686,-2.2579,0.991186843392578,-0.00899951082019148,0.373628228938038,0.0197302522770155
"96",2,"AA","AA",4.7659,9.9642,6.2772,4.8396,2.8153,218.411,3611.5,1682.127,430.437,45.523,139.698,5.4043,13.1413,1.6996,1.5673,1.1129,97.727,0.0996,6.2772,2.14698414566795,0.255888526847259,0.325867227877278,0.0580972780295424
"97",2,"AA","AA",24.2944,66.653,50.1352,8.4873,4.7027,546.441,5691.558,1599.495,509,140.829,73.554,6.4688,34.3542,1.2159,1.0539,0.6836,15.883,-0.1548,50.1352,3.55834685322555,0.31822543990447,1.91463414634146,0.00993000915914085
"98",5,"BB","BB",2.643,8.1825,2.0999,4.8396,2.8469,306,1035,2518,888,80,315,2.6364,12.1525,2.3651,1.0603,0.2159,430,0.1503,2.0999,0.411040508339952,0.352660841938046,0.253968253968254,0.17077045274027
"99",5,"BB","BB",-14.4867,2.695,-7.7067,-18.6832,-10.9499,315.9,1194.9,2813.1,1078.3,105.9,494.9,-4.2438,18.3676,1.4219,0.4296,0.0242,208.8,0.1206,-7.7067,0.424762717286979,0.38331378194874,0.213982622752071,0.0742241655113576
"100",4,"BBB","BBB+",11.483,35.4876,23.1679,12.1454,3.6931,4315,7790,11463,596,1085,1811,2.4407,43.1388,0.5621,0.2822,0.0458,-793,-0.1548,23.1679,0.679577771961965,0.0519933699729565,0.599116510215351,-0.0691790979673733
